,price_avg
7342,969.95
8000,2214.95
5117,2858.99
4589,3222.4649999999997
941,2641.51
3374,649.0
697,699.0
1920,1901.61
5830,3443.17
5808,783.9
7403,1229.95
6882,947.0
6835,1791.8
44,1711.665
2943,514.71
4150,204.99
7123,1199.95
3393,763.65
5065,235.37
6621,3049.9
1702,1119.0
6032,704.0
2963,558.39
63,1763.6399999999999
7918,864.95
4110,1349.0
3423,1429.65
227,1337.57
7751,1379.95
5071,529.0
7961,2149.95
4619,545.4
979,864.9399999999999
1828,2389.825
7347,3681.29
2220,1221.5149999999999
4303,778.015
5739,2499.0
2685,849.0
2856,1387.365
1889,1331.885
3988,585.0
5185,3409.9
6223,1895.0
6843,1091.71
252,842.0550000000001
2567,1008.07
5248,1396.64
1809,2383.76
3193,352.8
4178,348.49
4486,983.05
7603,1764.95
4837,2529.41
1931,2150.635
2148,1611.0
7900,1934.95
5902,1532.41
2899,2423.7
4964,1345.995
4623,346.47
75,1324.125
3011,2077.175
432,542.345
4101,4033.88
6523,1092.11
4546,691.2049999999999
2703,899.9
3499,1061.99
5396,1561.35
5787,1675.0
4357,814.4649999999999
5076,857.06
240,671.3299999999999
791,2270.21
1367,1209.685
6639,469.04
987,2509.44
817,549.6800000000001
2197,1925.34
1618,1011.2950000000001
2371,909.32
3109,4301.74
1639,1563.755
8018,1409.95
1501,981.5999999999999
3872,3699.99
1821,1412.4050000000002
2124,2727.0
7148,944.95
1370,2471.66
5343,983.41
2664,1064.99
4417,870.5350000000001
2429,1969.56
3172,7564.88
3107,2792.29
3818,5039.11
3001,3794.53
3850,1290.73
7042,225.0
29,3102.28
4739,8205.73
6128,2628.95
1105,1972.3899999999999
124,1013.5350000000001
5119,862.99
5901,1642.94
5576,756.2049999999999
4954,605.55
5150,1059.4450000000002
1572,1589.42
4163,826.365
602,1944.125
6338,2299.0
1429,804.81
4228,552.86
5688,1099.0
4703,2179.285
3684,4978.39
2226,823.0799999999999
5934,2456.5
3977,1122.0
2707,1689.44
816,998.515
5531,649.4
968,395.78
6965,837.85
3250,605.59
818,3179.12
842,5206.88
7180,899.95
2934,756.01
1248,3638.435
1238,1195.72
5316,1205.13
4167,857.255
2983,499.37
7101,1524.95
2756,1196.41
4957,1128.38
2893,1399.0
6297,769.32
1676,1779.7649999999999
6890,4578.31
454,1397.795
4732,670.9549999999999
4895,1158.3049999999998
424,853.625
1233,880.74
3017,3295.0
3635,1832.0
7526,4282.81
3199,4998.25
102,946.945
4971,4943.45
3707,1364.43
1599,662.49
4255,1889.9
2235,1250.045
170,1857.5
5975,1293.05
135,1411.075
3962,1020.0
6846,665.0
1323,1144.275
7265,1799.0
2315,2435.8450000000003
7763,1099.95
7194,1539.95
7168,1199.95
4642,378.385
1964,2197.38
2430,3436.84
2726,3914.27
4750,1547.1750000000002
815,1366.775
2074,1133.63
4541,1525.22
464,1152.1399999999999
1985,599.0
7798,1079.95
807,2094.575
4660,1415.855
1086,932.0250000000001
144,2282.965
1353,662.22
2754,800.99
4635,490.01
2120,1428.0
5032,599.9
4494,3079.74
3467,509.44
4535,1906.795
4970,668.99
5966,399.0
1014,1879.99
7287,1914.95
2917,4314.83
559,954.6
6809,2380.185
1504,1240.885
5775,1898.94
1285,1391.315
1424,1541.995
7124,2489.86
7377,1709.95
1490,1285.79
6321,2359.9
7861,1327.8
5006,940.4
6986,1344.1
5321,3869.805
6794,1843.39
991,1076.4450000000002
6860,1161.11
3256,1160.53
7128,4384.665
1281,1181.1
3571,1296.0
268,1132.2
658,944.895
3142,360.39
3049,1464.33
4966,1053.245
3131,694.6
593,514.69
3762,4558.0
2815,402.865
5322,778.915
4446,554.49
7889,2049.9
5201,775.99
7911,833.9
1831,608.68
6957,1334.95
7666,3060.335
6778,2749.99
681,952.24
7608,527.95
5436,1317.6950000000002
5223,550.99
2984,1444.0
4734,1267.35
7008,744.21
4220,592.19
5931,146.0
5943,2197.75
4126,524.0
4219,717.87
2538,3876.11
1630,1840.01
4374,1079.605
2549,951.125
6325,2064.88
5422,4172.85
2623,3112.5
3844,4182.95
609,1563.815
4605,584.36
4455,556.885
1487,653.025
5958,552.99
5479,631.55
4229,2596.785
3636,1508.4
4139,688.265
3783,1569.0
2184,1381.01
4018,2514.0
7725,604.95
2106,2076.08
4994,519.22
4387,1640.08
7892,842.71
